IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.74.155.26,80,FALSE,SIN,Asia Pacific,Singapore,97 ms,20140 kB/s
47.238.6.102,8880,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,16697 kB/s
47.76.204.76,2052,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,16067 kB/s
47.238.40.58,2082,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,15059 kB/s
47.76.159.146,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,10684 kB/s
8.219.163.195,2086,FALSE,SIN,Asia Pacific,Singapore,209 ms,10532 kB/s
47.238.6.102,2095,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,9884 kB/s
47.238.40.58,2086,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,9434 kB/s
47.76.204.76,2086,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,8809 kB/s
47.237.83.20,2052,FALSE,SIN,Asia Pacific,Singapore,206 ms,8735 kB/s
47.238.6.102,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,8322 kB/s
47.237.82.15,2052,FALSE,SIN,Asia Pacific,Singapore,243 ms,8253 kB/s
47.236.237.90,2086,FALSE,SIN,Asia Pacific,Singapore,213 ms,8222 kB/s
47.238.40.58,80,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,8205 kB/s
47.237.95.140,80,FALSE,SIN,Asia Pacific,Singapore,214 ms,8011 kB/s
47.236.150.13,2086,FALSE,SIN,Asia Pacific,Singapore,222 ms,7987 kB/s
47.237.94.140,2086,FALSE,SIN,Asia Pacific,Singapore,220 ms,7858 kB/s
47.237.0.31,80,FALSE,SIN,Asia Pacific,Singapore,234 ms,7838 kB/s
47.236.205.188,2095,FALSE,SIN,Asia Pacific,Singapore,248 ms,7765 kB/s
47.238.40.58,2095,FALSE,HKG,Asia Pacific,Hong Kong,55 ms,7727 kB/s
47.237.0.31,2086,FALSE,SIN,Asia Pacific,Singapore,214 ms,7450 kB/s
47.236.97.90,8080,FALSE,SIN,Asia Pacific,Singapore,215 ms,7417 kB/s
47.237.11.182,2052,FALSE,SIN,Asia Pacific,Singapore,211 ms,7402 kB/s
47.236.75.113,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,7252 kB/s
47.237.95.13,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,7242 kB/s
47.236.165.25,2082,FALSE,SIN,Asia Pacific,Singapore,224 ms,7206 kB/s
47.237.86.185,8880,FALSE,SIN,Asia Pacific,Singapore,221 ms,7204 kB/s
47.237.92.26,8080,FALSE,SIN,Asia Pacific,Singapore,240 ms,7129 kB/s
47.237.95.140,2086,FALSE,SIN,Asia Pacific,Singapore,227 ms,7083 kB/s
47.237.100.206,80,FALSE,SIN,Asia Pacific,Singapore,210 ms,7064 kB/s
47.237.92.26,2052,FALSE,SIN,Asia Pacific,Singapore,217 ms,7050 kB/s
8.219.87.30,2086,FALSE,SIN,Asia Pacific,Singapore,214 ms,7047 kB/s
47.237.14.220,8880,FALSE,SIN,Asia Pacific,Singapore,211 ms,7022 kB/s
47.237.11.182,8080,FALSE,SIN,Asia Pacific,Singapore,210 ms,6999 kB/s
47.237.83.20,80,FALSE,SIN,Asia Pacific,Singapore,249 ms,6982 kB/s
47.76.204.76,8880,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,6943 kB/s
47.237.10.1,2082,FALSE,SIN,Asia Pacific,Singapore,209 ms,6901 kB/s
47.237.94.140,2052,FALSE,SIN,Asia Pacific,Singapore,228 ms,6882 kB/s
8.219.87.30,8080,FALSE,SIN,Asia Pacific,Singapore,240 ms,6778 kB/s
47.236.9.152,2052,FALSE,SIN,Asia Pacific,Singapore,216 ms,6756 kB/s
8.219.163.195,2082,FALSE,SIN,Asia Pacific,Singapore,213 ms,6740 kB/s
47.236.237.90,8080,FALSE,SIN,Asia Pacific,Singapore,210 ms,6740 kB/s
47.237.11.182,2082,FALSE,SIN,Asia Pacific,Singapore,212 ms,6732 kB/s
47.236.104.11,2082,FALSE,SIN,Asia Pacific,Singapore,210 ms,6729 kB/s
47.236.9.152,2095,FALSE,SIN,Asia Pacific,Singapore,209 ms,6674 kB/s
