IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.146.249,8880,8880,false,SIN,Asia Pacific,Singapore,52,1.62
47.236.180.24,2096,2096,true,SIN,Asia Pacific,Singapore,153,1.62
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,79,1.56
47.237.84.173,8443,8443,true,SIN,Asia Pacific,Singapore,154,1.28
8.219.240.160,2082,2082,false,SIN,Asia Pacific,Singapore,58,1.27
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,147,1.19
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,146,1.12
47.245.86.230,2052,2052,false,SIN,Asia Pacific,Singapore,148,1.01
8.219.210.64,2087,2087,true,SIN,Asia Pacific,Singapore,141,0.94
8.219.139.13,80,80,false,SIN,Asia Pacific,Singapore,54,0.94
47.236.232.148,2053,2053,true,SIN,Asia Pacific,Singapore,142,0.92
47.236.123.133,80,80,false,SIN,Asia Pacific,Singapore,52,0.91
8.219.11.158,2083,2083,true,SIN,Asia Pacific,Singapore,53,0.90
8.219.4.122,2053,2053,true,SIN,Asia Pacific,Singapore,78,0.89
47.236.87.246,2052,2052,false,SIN,Asia Pacific,Singapore,53,0.86
8.222.156.242,8080,8080,false,SIN,Asia Pacific,Singapore,142,0.85
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,150,0.84
47.236.123.133,2082,2082,false,SIN,Asia Pacific,Singapore,69,0.83
47.236.180.24,8443,8443,true,SIN,Asia Pacific,Singapore,154,0.83
47.236.145.85,2083,2083,true,SIN,Asia Pacific,Singapore,79,0.82
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,143,0.82
8.219.210.64,8080,8080,false,SIN,Asia Pacific,Singapore,47,0.80
8.219.210.57,2087,2087,true,SIN,Asia Pacific,Singapore,139,0.78
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,76,0.78
47.245.118.70,2095,2095,false,SIN,Asia Pacific,Singapore,144,0.77
8.219.78.188,2087,0,true,SIN,Asia Pacific,Singapore,56,0.77
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,157,0.77
8.219.191.110,2052,2052,false,SIN,Asia Pacific,Singapore,143,0.76
47.236.158.158,2087,2087,true,SIN,Asia Pacific,Singapore,151,0.75
47.236.169.164,2082,2082,false,SIN,Asia Pacific,Singapore,154,0.75
8.219.78.1,8443,0,true,SIN,Asia Pacific,Singapore,55,0.74
8.219.122.55,2052,2052,false,SIN,Asia Pacific,Singapore,139,0.74
8.222.180.86,2052,2052,false,SIN,Asia Pacific,Singapore,55,0.73
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,55,0.72
47.245.86.230,2082,2082,false,SIN,Asia Pacific,Singapore,75,0.71
47.236.117.48,2096,2096,true,SIN,Asia Pacific,Singapore,142,0.71
8.219.120.87,80,80,false,SIN,Asia Pacific,Singapore,76,0.71
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,85,0.71
8.222.150.197,2086,2086,false,SIN,Asia Pacific,Singapore,78,0.70
8.219.104.37,8080,8080,false,SIN,Asia Pacific,Singapore,69,0.69
8.219.222.98,80,80,false,SIN,Asia Pacific,Singapore,153,0.69
8.219.87.30,80,80,false,SIN,Asia Pacific,Singapore,155,0.68
47.236.174.206,8443,8443,true,SIN,Asia Pacific,Singapore,147,0.68
8.219.198.139,2095,2095,false,SIN,Asia Pacific,Singapore,53,0.68
8.219.139.13,2095,2095,false,SIN,Asia Pacific,Singapore,54,0.67
8.219.40.37,80,80,false,SIN,Asia Pacific,Singapore,57,0.67
8.219.114.201,2083,2083,true,SIN,Asia Pacific,Singapore,149,0.67
8.219.78.1,8080,8080,false,SIN,Asia Pacific,Singapore,79,0.67
8.219.222.98,2082,2082,false,SIN,Asia Pacific,Singapore,138,0.67
8.222.181.117,2096,2096,true,SIN,Asia Pacific,Singapore,138,0.66
8.219.0.48,2096,0,true,SIN,Asia Pacific,Singapore,65,0.65
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,153,0.64
8.219.98.13,2095,2095,false,SIN,Asia Pacific,Singapore,147,0.64
8.219.113.232,2086,2086,false,SIN,Asia Pacific,Singapore,58,0.64
47.236.146.249,2095,2095,false,SIN,Asia Pacific,Singapore,56,0.64
47.236.170.54,2095,2095,false,SIN,Asia Pacific,Singapore,155,0.64
8.219.40.37,8080,8080,false,SIN,Asia Pacific,Singapore,154,0.63
8.222.165.117,8080,8080,false,SIN,Asia Pacific,Singapore,85,0.63
8.219.98.13,2086,2086,false,SIN,Asia Pacific,Singapore,60,0.62
8.219.124.227,2082,2082,false,SIN,Asia Pacific,Singapore,51,0.62
8.219.51.211,8880,8880,false,SIN,Asia Pacific,Singapore,147,0.62
8.219.117.198,2086,2086,false,SIN,Asia Pacific,Singapore,148,0.61
8.219.111.175,2095,2095,false,SIN,Asia Pacific,Singapore,153,0.61
8.219.60.54,2052,2052,false,SIN,Asia Pacific,Singapore,147,0.61
8.219.210.57,8080,8080,false,SIN,Asia Pacific,Singapore,67,0.61
47.236.164.215,8880,8880,false,SIN,Asia Pacific,Singapore,68,0.60
8.219.93.5,2086,2086,false,SIN,Asia Pacific,Singapore,76,0.60
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,68,0.60
8.219.0.162,8443,8443,true,SIN,Asia Pacific,Singapore,144,0.59
8.219.126.240,8080,8080,false,SIN,Asia Pacific,Singapore,158,0.59
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,140,0.58
8.219.174.213,2052,2052,false,SIN,Asia Pacific,Singapore,87,0.58
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,74,0.58
8.219.139.13,8080,8080,false,SIN,Asia Pacific,Singapore,149,0.57
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,78,0.57
47.237.11.182,80,80,false,SIN,Asia Pacific,Singapore,52,0.57
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,156,0.57
8.219.0.48,2086,2086,false,SIN,Asia Pacific,Singapore,138,0.57
8.219.40.37,2053,0,true,SIN,Asia Pacific,Singapore,62,0.57
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,143,0.57
8.219.198.139,8080,8080,false,SIN,Asia Pacific,Singapore,144,0.57
8.219.0.162,8880,8880,false,SIN,Asia Pacific,Singapore,147,0.57
47.236.150.13,2052,2052,false,SIN,Asia Pacific,Singapore,67,0.57
8.222.156.242,8443,8443,true,SIN,Asia Pacific,Singapore,77,0.57
47.236.180.24,2087,2087,true,SIN,Asia Pacific,Singapore,78,0.56
8.222.180.86,2087,2087,true,SIN,Asia Pacific,Singapore,153,0.56
47.236.172.71,2082,2082,false,SIN,Asia Pacific,Singapore,153,0.56
47.236.144.208,2052,2052,false,SIN,Asia Pacific,Singapore,82,0.56
47.237.100.206,8080,8080,false,SIN,Asia Pacific,Singapore,146,0.55
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,156,0.55
8.219.139.13,2052,2052,false,SIN,Asia Pacific,Singapore,142,0.55
47.245.118.70,8080,8080,false,SIN,Asia Pacific,Singapore,54,0.55
52.74.101.26,443,443,true,SIN,Asia Pacific,Singapore,124,0.55
8.219.110.81,2083,2083,true,SIN,Asia Pacific,Singapore,146,0.55
47.245.126.151,2083,2083,true,SIN,Asia Pacific,Singapore,154,0.55
8.222.150.197,2083,2083,true,SIN,Asia Pacific,Singapore,155,0.54
